SMILES,o_mus_ipr_LD,o_rat_orl_TDLo,o_mus_ipr_LDLo,o_mus_orl_TDLo,o_rat_ipr_TDLo,o_mus_ivn_LD,o_rat_ipr_LD,o_mus_orl_LD,o_mus_unr_LD,o_rat_unr_LD,o_mus_scu_LDLo,o_rat_scu_LD,o_mus_scu_LD,o_rat_ipr_LDLo,o_mus_ipr_TDLo,o_rbt_skn_LD,o_rat_orl_LD,o_rat_ivn_TDLo,o_rat_orl_LDLo,o_rbt_orl_LD,o_rbt_ivn_LD,o_rat_ivn_LD,o_mus_orl_LDLo,o_rat_skn_LD,o_mam_unr_LD,o_gpg_orl_LD,o_wmn_orl_TDLo,o_man_orl_TDLo,o_rat_scu_TDLo
Cc1c(Cl)cccc1NC(=O)C[NH2+]CC(C)C,3.37,,,,,,,,,,,,2.81,,,,,,,,,,,,,,,,
Cc1c(Cl)cccc1NC(=O)OCC[NH+]1CCCCC1,,,,,,,,,,,,,2.92,,,,,,,,,,,,,,,,
Cc1c(Cl)cccc1NC(N)=S,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,
Cc1c(Cl)cccc1NC1=NCCO1,,,,,,3.32,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(Cl)cccc1NCCNCC(O)COc1ccccc1,,,,,,,,,,,,,,,,,,,,,,4.31,,,,,,,
Cc1c(Cl)cccc1NCN1C(=O)CCC1=O,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(Cl)cccc1Nc1c(C#N)c(Cl)c(C#N)c(Cl)c1C#N,,,,,,,,3.93,,,,,,,,,,,,,,,,,,,,,
Cc1c(Cl)cccc1Nc1ccccc1C(=O)O,3.15,,,,,,3.04,2.97,,,,3.03,2.99,,,,3.07,,,2.67,,,,,,,,,
Cc1c(Cl)cccc1Nc1ccncc1S(N)(=O)=O,,,,,,,,,,,,,,,,,,,,,,,,,2.47,,,,
Cc1c(Cl)cccc1Nc1ncccc1C(=O)O,3.12,,,,,,3.25,2.82,,,,2.91,3.0,,,,2.89,,,,,,,,,,,,
Cc1c(Cl)cccc1Nc1ncccc1C(=O)OCCN1CCN(c2cccc(C(F)(F)F)c2)CC1,,,,,,,,2.17,,,,,,,,,,,,,,,,,,,,,
Cc1c(Cl)cccc1[N+](=O)[O-],,,,,,3.49,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(F)c(F)c(COC(=O)[C@H]2[C@@H](/C=C(\Cl)C(F)(F)F)C2(C)C)c(F)c1F,,,,,,,,3.97,,,,,,,,,4.28,,,,,,,3.45,,,,,
Cc1c(F)c(F)c2nc(C(F)(F)F)[nH]c2c1F,,,,,,,,,,,,,,,,,4.81,,,,,,,,,,,,
Cc1c(F)c(N2CC3CCC2CN3)nc2c1c(=O)c(C(=O)O)cn2-c1ccc(F)cc1F,,,,,,4.3,,2.28,,,,,,,,,,,,,,,,,,,,,
Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,,,,,,3.76,,2.01,,,,2.3,2.3,,,,2.12,,,,,3.42,,,,,,,
Cc1c(F)c(N2CC[C@H](N)C2)nc2c1c(=O)c(C(=O)O)cn2-c1ccc(F)cc1,,,,,,3.67,,2.24,,,,,,,,,,,,,,,,,,,,,
Cc1c(F)c(N2CC[C@H](N)C2)nc2c1c(=O)c(C(=O)O)cn2-c1ccc(F)cc1F,,,,,,3.73,,2.26,,,,,,,,,,,,,,,,,,,,,
Cc1c(F)c(N2CC[C@H](N)C2)nc2c1c(=O)c(C(=O)O)cn2C1CC1,,,,,,3.83,,2.19,,,,,,,,,,,,,,,,,,,,,
Cc1c(F)cccc1-n1c(C)nc2ccccc2c1=O,,,,,,,,3.05,,,,,,,,,,,,,,,,,,,,,
Cc1c(I)c(=O)n(-c2ccccc2)c(=O)n1C,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(I)c(=O)n(-c2ccccc2)n1C,,,,,,,2.26,2.29,,,,,,,,,2.18,,,,,,,,,,,,
Cc1c(I)c(=O)n(C)c(=O)n1-c1ccccc1,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(I)c(O)c(I)c(O)c1I,,,,,,2.84,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(I)cccc1-n1c(C)nc2ccccc2c1=O,,,,,,,,3.06,,,,,,,,,,,,,,,,,,,,,
Cc1c(N(C(=O)c2ccc(I)cc2)C(C)C)c(=O)n(-c2ccccc2)n1C,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(N(C(=O)c2ccc([N+](=O)[O-])cc2)C(=O)c2ccc([N+](=O)[O-])cc2)c(=O)n(-c2ccccc2)n1C,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,
Cc1c(N(C(=O)c2cccc(I)c2)C(C)C)c(=O)n(-c2ccccc2)n1C,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(N(C(=O)c2ccccc2I)C(C)C)c(=O)n(-c2ccccc2)n1C,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(N(C)C(=O)c2cccc(Br)c2)c(=O)n(-c2ccccc2)n1C,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,
Cc1c(N(C)C)c(=O)[nH]c(=O)n1-c1ccccc1,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(N(C)C)c(=O)[nH]c(=O)n1C1CCCCC1,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(N(C)C)c(=O)n(-c2ccccc2)c(=O)n1C,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(N(C)C)c(=O)n(-c2ccccc2)c(=O)n1CCO,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,3.14,3.51,,3.67,3.67,3.47,3.09,2.89,2.89,3.12,,2.89,2.97,,3.36,,2.91,,,2.59,3.46,3.37,,,,2.41,,,
Cc1c(N(C)C)c(=O)n(C)c(=O)n1-c1ccc(Cl)cc1,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(N(C)C)c(=O)n(C)c(=O)n1-c1ccccc1,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(N(C)C)c(=O)n(C)c(=O)n1C,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(N(C)C)c(=O)n(C)c(=O)n1C1CCCC1,3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(N(C)C)c(=O)n(C)c(=O)n1C1CCCCC1,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
