SMILES,o_mus_ipr_LD,o_rat_orl_TDLo,o_mus_ipr_LDLo,o_mus_orl_TDLo,o_rat_ipr_TDLo,o_mus_ivn_LD,o_rat_ipr_LD,o_mus_orl_LD,o_mus_unr_LD,o_rat_unr_LD,o_mus_scu_LDLo,o_rat_scu_LD,o_mus_scu_LD,o_rat_ipr_LDLo,o_mus_ipr_TDLo,o_rbt_skn_LD,o_rat_orl_LD,o_rat_ivn_TDLo,o_rat_orl_LDLo,o_rbt_orl_LD,o_rbt_ivn_LD,o_rat_ivn_LD,o_mus_orl_LDLo,o_rat_skn_LD,o_mam_unr_LD,o_gpg_orl_LD,o_wmn_orl_TDLo,o_man_orl_TDLo,o_rat_scu_TDLo
Br/C(=N\Nc1ccc(Br)cc1Br)c1ccccc1,,,,,,,,2.41,,,,,,,,,,,,,,,,,,,,,
Br/C=C(\Br)CBr,,,,,,3.94,,,,,,,,,,,,,,,,,,,,,,,
Br/C=C/Br,,,,,,,,,,,,,,,,,3.48,,,,,,,,,,,,
Br/C=C/c1ccccc1,,,,,,,,,,,,,,,,,2.17,,,,,,,,,,,,
BrC(Br)(Br)Br,,,,,,3.77,,,,,,,3.05,,,,,,2.04,,,,,,,,,,
BrC(Br)(Br)c1ccc2ccccc2n1,,,,,,,,,,,,,,,,,1.75,,,,,,,,,,,,
BrC(Br)(Br)c1cnc2ccccc2n1,,,,,,3.33,,,,,,,,,,,,,,,,,,,,,,,
BrC(Br)Br,2.3,,,,,,2.79,2.37,,,,,2.14,,,,2.43,,,,,,,,,,,,
BrC(Br)C(Br)Br,2.89,,,,,,,3.11,,,,,,,,,2.46,,,2.94,,,,1.82,,2.94,,,
BrC(Br)Cc1ccccc1,,,,,,,,,,,,,,,,,,,1.33,,,,,,,,,,
BrC(Br)c1cccc(C(Br)Br)c1,,,,,,3.88,,,,,,,,,,,,,,,,,,,,,,,
BrC(CN(Cc1ccccc1)Cc1ccccc1)c1ccccc1,,,,,,2.28,,,,,,,,,,,,,,,,,,,,,,,
BrC(CN1CCOCC1)c1ccccc1,,,,,,2.46,,,,,,,,,,,,,,,,,,,,,,,
BrC(CNCc1ccccc1)c1ccccc1,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,
BrC(c1ccccc1)(c1ccccc1)c1ccccc1,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,
BrC/C=C/CBr,,,4.76,,,,,3.87,,,,,,,,,3.5,,,,,,,,,,,,
BrC1(Br)C2CCC1CC2,,,,,,,,,,,,,,,,,3.08,,,,,,,,,,,,
BrC12CC3CC(C1)C1(NCCS1)C(C3)C2,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,,,,4.95,,,,,,,,,,,,1.9,1.81,,,,,,,,,,,,
BrC1CCCCC1,,,,,,,,1.6,,,,,,,,,1.77,,,,,,,,,,,,
BrC1c2ccccc2-c2ccccc21,,,,,,3.13,,,,,,,,,,,,,,,,,,,,,,,
BrC=C(Br)Br,,,,,,,,3.38,,,,,,,,,,,,,,,,,,,,,
BrCBr,,,,,,,,,,,,,1.67,,,1.64,3.21,,,2.24,,,,,,,,,
BrCC(Br)C1CCC(Br)C(Br)C1,,,,,,,,,,,,,,,,,2.12,,,,,,,,,,,,
BrCC(Br)CBr,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,
BrCC(Br)Oc1cccc2cccnc12,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrCC(Br)c1ccc(C(Br)CBr)cc1,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,
BrCC(Br)c1cccc(C(Br)CBr)c1,,,,,,4.15,,,,,,,,,,,,,,,,,,,,,,,
BrCC(CBr)=C(CBr)CBr,,,,,,4.35,,,,,,,,,,,,,,,,,,,,,,,
BrCC1CCCC(CBr)N1,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrCC1CCCO1,,,,,,2.96,,,,,,,,,,,,,,,,,,,,,,,
BrCC1CN=C(NCCNC2=NCC(CBr)S2)S1,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrCC1CO1,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrCC1CSC(c2ccccc2)S1,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrCCBr,2.93,3.19,,,,,,2.65,3.11,,,,,,3.67,2.8,3.24,,,3.53,,,2.88,2.8,,3.23,,,
BrCCCBr,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrCCCCBr,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrCCCCCCBr,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrCCCCCCCCCCCCBr,,,,,,3.01,,,,,,,,,,,,,,,,,,,,,,,
BrCCCN(CCCBr)c1ccc(N=Nc2ccccc2)cc1,,,,,,,3.44,,,,,,,,,,,,,,,,,,,,,,
BrCCN(CCBr)c1ccc(N=Nc2ccccc2)cc1,,,,,,,2.64,,,,,,,,,,,,,,,,,,,,,,
